Aggregated_Location_ID,From,To,Coefficient,MinimumCount,MaximumCount
45,2010/01/01,2018/10/12,0.79,25,59
45,2010/01/01,2018/10/12,0.65,60,99999
158,2010/01/01,2018/10/12,1.2,0,24
158,2010/01/01,2018/10/12,0.79,25,59
158,2010/01/01,2018/10/12,0.65,60,99999
76,2010/01/01,2018/10/12,1.18,0,19
76,2010/01/01,2018/10/12,0.86,20,99999
146,2010/01/01,2018/10/12,1.18,0,19
146,2010/01/01,2018/10/12,0.86,20,99999
64,2010/01/01,2018/10/12,1.37,0,39
64,2010/01/01,2018/10/12,1.26,40,89
64,2010/01/01,2018/10/12,1.24,90,99999
50,2010/01/01,2018/10/12,1.29,0,99999
78,2010/01/01,2018/10/12,1.6,0,19
78,2010/01/01,2018/10/12,1.45,20,99999
